fullpart_time,gender,months_work,respect,hr_wage
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,3.475
(1) Full-time worker,(2) Female,9,(1) Strongly agree,16
(1) Full-time worker,(2) Female,12,(4) Disagree,17.24
(1) Full-time worker,(2) Female,6,(4) Disagree,10
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,8
(1) Full-time worker,(2) Female,10,(2) Agree,13
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.75
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11
(1) Full-time worker,(2) Female,12,(2) Agree,9.5
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,6,(4) Disagree,15
(1) Full-time worker,(2) Female,12,(2) Agree,12.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.5
