fullpart_time,gender,months_work,respect,hr_wage
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.1
(1) Full-time worker,(2) Female,1,(1) Strongly agree,NA
NA,NA,NA,NA,NA
(2) Part-time worker,NA,9,NA,10
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(2) Part-time worker,(2) Female,8,(1) Strongly agree,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,4,(2) Agree,9.5
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,20.91836734694
