hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
12,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,(5) Some college credit but no degree,1998,5,21,Between 20 and 40,Between $11 and $20
32.50591016549,"(2) Teacher, instructor, or lead teacher",(8) Other,(8) Graduate or professional degree,1960,0,59,More than 51,More than $31
14,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1992,4,27,Between 20 and 40,Between $11 and $20
16.7,(3) Other/undetermined,(1) White Only,(8) Graduate or professional degree,1992,2,27,Between 20 and 40,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1990,0,29,Between 20 and 40,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1965,2,54,More than 51,Between $11 and $20
9,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1981,1,38,Between 20 and 40,Less than $10
12.5,(1) Aide or assistant teacher,(8) Other,(4) High school graduate,1998,4,21,Between 20 and 40,Between $11 and $20
9,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1996,4.666666666667,23,Between 20 and 40,Less than $10
31.57894736843,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1978,6,41,Between 41 and 50,More than $31
8.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1994,0,25,Between 20 and 40,Less than $10
11,(1) Aide or assistant teacher,(8) Other,"(7) Bachelor's degree (BA, BS, AB)",1982,1,37,Between 20 and 40,Between $11 and $20
43.05555555556,"(2) Teacher, instructor, or lead teacher",NA,(8) Graduate or professional degree,1977,11,42,Between 41 and 50,More than $31
51.42857142858,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1991,5,28,Between 20 and 40,More than $31
14.75,(1) Aide or assistant teacher,NA,"(6) Associate degree (AA, AS)",1962,0,57,More than 51,Between $11 and $20
13,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1958,3,61,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1973,0,46,Between 41 and 50,Between $11 and $20
